,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
38.00 ,,L38,55.59,45.2,4.69,26.16,32.91,19.41235045,87,554.54914,-0.191455,145,-0.000629,0.190826,69,8.134,10.195,12.513,15.57,0.406761064,0.957093681,1.832838,8.09346,1.864569,15.39513,137.122,4786.05058,1.2984,-30.59173,15.03834,1829.92073,1239.35354,590.5672,0.00122336,0.00719084,-0.01129988,0.00016238,0.12157375,0.00815623,0.23175781,447.21,65.22,6.28317,13.58132,0.39997073,0.00118722,-29.5663,-12.86975,-0.702236,0.012754
39.00 ,,L39,58.19,53.83,6.67,6.84,31.3825,24.67576886,75,542.45385,-0.191056,139,-0.01896,0.172096,64,7.46,10.567,11.514,14.242,0.392093164,0.954557641,1.933755,7.949086,1.928081,11.133343,210.1623,4441.53483,1.3686,-27.30071,16.09452,1687.05292,950.2068,736.84613,-0.00065385,0.0095024,-0.01375094,0.00015473,0.17468391,0.01145142,0.30906743,348.85,123.58,6.45058,13.64151,0.40109124,0.00153627,-32.34589,-12.89311,-0.7363133,0.019358
40.00 ,,L40,9.31,11.17,5.76,4.69,7.7325,2.619755475,52,398.41724,-0.213379,105,-0.018812,0.194567,43,8.398,7.333,12.945,16.023,0.441392799,0.953977137,1.03486,4.768507,0.00051,24.7603,0.0454,3448.22976,1.2948,-30.41988,16.23336,1588.5728,824.45207,764.12073,-0.00152174,0.01228098,-0.01641425,0.00016261,0.19465599,0.01436539,0.38828265,264.22,180.62,6.80095,13.67877,0.39409991,0.00240172,-32.88563,-12.28392,-0.7465771,0.031326
41.00 ,,L41,13.49,19.63,11.84,12.44,14.35,3.10508454,46,282.34164,-0.191832,77,-0.015208,0.176625,44,5.939,8.453,9.631,11.155,0.381510996,0.939131167,1.538944,6.153597,2.356713,8.826626,80.4353,2700.33594,1.1717,-42.76015,17.57151,1160.2824,609.46473,550.81767,-0.00051074,0.00990217,-0.01203235,0.00022539,0.17357776,0.0109512,0.29696937,252.94,71.98,6.52812,13.62143,0.39676118,0.00134812,-32.58812,-13.01951,-0.678738,0.015387
42.00 ,,L42,13.26,22.68,9.03,4.69,12.415,6.656164436,72,506.59841,-0.21291,135,-0.005244,0.207666,69,7.642,10.155,12.234,15.202,0.40440531,0.994634912,1.971838,7.395943,3.591501,6.947032,137.6165,4409.07396,1.2875,-34.94493,24.86906,1811.41117,1052.37303,759.03814,-2.26E-05,0.01333164,-0.01853772,0.00023537,0.18197285,0.01551682,0.42213433,303.31,203.94,6.54988,13.64766,0.3944587,0.00226827,-33.8218,-12.88467,-0.7495999,0.03083
43.00 ,,L43,61.43,45.66,11.19,6.96,31.31,22.97212332,60,481.34796,-0.200691,121,-0.020386,0.180305,55,8.117,7.823,13.353,15.96,0.42977165,0.983121843,1.341451,5.466961,0.947911,18.190519,228.5744,3744.52662,1.4405,-44.612,17.58826,1604.3644,860.15121,744.21319,-0.00229224,0.01119738,-0.01788336,0.00024889,0.15193923,0.01455797,0.38908988,282.17,167.1,6.85324,14.17068,0.40566983,0.001745,-36.53094,-13.0939,-0.7522358,0.025731
44.00 ,,L44,61.45,45.4,11.13,6.86,31.21,22.97793833,63,495.37458,-0.200696,125,-0.020515,0.180182,54,8.091,7.845,13.377,15.965,0.429316697,0.986590038,1.362291,5.432509,1.021052,17.921992,229.8097,3888.23079,1.4277,-43.43404,17.59159,1652.52147,864.59677,787.9247,-0.00218025,0.01127018,-0.01693953,0.00022546,0.16205676,0.01416573,0.38023376,295.86,166.89,6.8539,14.01551,0.40509934,0.00163928,-35.9911,-13.10743,-0.7489445,0.025157
45.00 ,,L45,61.94,43.81,10.67,6.75,30.7925,23.03572701,64,529.3909,-0.201702,133,-0.022714,0.178989,60,9.121,8.871,13.43,18.094,0.447926724,0.991886855,1.557552,6.564029,1.297021,18.025849,208.3489,4086.34894,1.4517,-42.36904,17.00408,1782.67523,911.82016,870.85508,-0.00229448,0.0120369,-0.01730001,0.00021782,0.15965095,0.0147534,0.39750346,303.53,195.67,6.86693,14.24792,0.4052149,0.00189129,-36.5369,-13.10488,-0.7713303,0.028223
46.00 ,,L46,61.51,44.45,11.81,7.19,31.24,22.62025862,61,515.36429,-0.201984,129,-0.023113,0.178871,59,8.567,7.915,13.037,16.662,0.442973361,0.972452434,1.340071,5.605693,1.455845,22.754118,289.0884,3927.08168,1.4706,-44.94823,20.51939,1689.18599,844.96335,844.22264,-0.00252107,0.0130228,-0.01807858,0.00024155,0.17082605,0.01565732,0.42312567,267.08,205.94,6.87144,14.53444,0.40524553,0.00194402,-36.56745,-13.10554,-0.7760527,0.029097
47.00 ,,L47,59.34,50.42,10.88,7.9,32.135,22.98675434,57,441.32708,-0.195173,111,-0.016991,0.178182,52,7.15,8.86,11.935,13.438,0.392545205,0.93972028,1.454786,6.334183,1.077455,12.276277,225.8973,3487.42151,1.4181,-33.28763,17.29417,1448.22,808.38984,639.83017,-0.0008355,0.01057916,-0.01525728,0.00015893,0.19699103,0.01275684,0.34411452,275.72,129.82,7.01359,13.70071,0.40395835,0.00168779,-32.69426,-13.1035,-0.7462535,0.021879
