No,yield20,,SampleName,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var
L11,1,11.00 ,CoH2L11,8.15,25.02,6.92,6.96,11.7625,7.670157674,70,569.55939,-0.216712,791,-0.03862,0.178092,67,9.096,9.734,12.805,17.458,0.436482736,0.959652595,1.799905,7.382067,12.346337,26.29755,555.8422,4441.0327,1.4371,-71.37325,30.24894,1980.96713,968.87212,1012.09501,-0.00628665,0.02428395,-0.03555169,0.00095486,0.15274835,0.03024795,0.81745023,165.46,389.27,6.3521,15.26163,0.39951076,0.00364811,-40.26023,-11.71161,-0.7840877,0.040963
L12,1,12.00 ,CoH2L12,10.2,24.27,5.03,4.15,10.9125,8.050864472,88,653.71909,-0.219215,923,-0.03769,0.181525,63,9.22,10.029,13.95,17.218,0.417943054,0.93373102,2.061511,7.739318,12.285686,33.773783,383.6632,5359.75544,1.3668,-72.95277,30.41226,2346.11048,967.74603,1378.36445,-0.00629001,0.02335777,-0.02710565,0.00092284,0.17451787,0.02517786,0.69551446,272.45,384.52,6.37825,15.26186,0.40220475,0.00280497,-40.1827,-11.77512,-0.7533097,0.036906
L13,1,13.00 ,CoH2L13,25.83,25.94,8.1,5.83,16.425,9.494062618,58,447.43615,-0.226366,616,-0.043013,0.183353,51,7.936,8.63,10.999,15.5,0.441230892,0.9765625,1.563497,6.30627,11.576231,42.570718,124.9281,3536.40297,1.4178,-72.55921,30.08623,1562.10169,960.90331,601.19838,-0.00095545,0.02225473,-0.03805259,0.00124214,0.09668024,0.02856229,0.77102835,139.57,297.87,6.37643,15.16437,0.39957907,0.00391045,-40.30985,-11.73065,-0.740963,0.034017
L14,0,14.00 ,CoH2L14,23.31,28.3,13.58,6.77,17.99,8.365629086,41,353.28159,-0.233477,472,-0.08209,0.151387,32,7.943,7.544,7.856,15.57,0.502744592,0.980108271,1.361215,5.4597,10.630285,41.266167,210.7985,2728.93123,1.4507,-70.84527,37.05634,1315.82794,786.08343,529.74451,-0.00261607,0.02639453,-0.04566466,0.00164427,0.13955782,0.03472946,0.92933868,121.11,247.36,6.5075,15.21482,0.39832313,0.00580337,-39.65159,-10.25538,-0.7415815,0.049079
L15,0,15.00 ,CoH2L15,27.59,26.92,13.94,7.22,18.9175,8.672647736,53,365.37688,-0.231505,502,-0.079013,0.152492,49,8.181,6.322,8.842,16.349,0.518801764,0.999205476,0.946703,4.015365,10.227515,38.150027,137.0075,3031.10269,1.3508,-66.16118,35.49889,1364.62859,846.0114,518.61719,-9.47E-05,0.02347904,-0.03855016,0.00143938,0.14596754,0.02922953,0.79475494,153.33,228.8,6.51816,14.9854,0.39690582,0.00423967,-39.617,-11.00713,-0.6959392,0.037862
L16,0,16.00 ,CoH2L16,8.13,22.96,12.16,6.64,12.4725,6.382802578,59,367.43912,-0.210942,516,-0.053565,0.157377,44,6.924,8.832,10.779,13.845,0.413827116,0.999783362,1.329857,6.392084,16.559113,34.749996,198.6568,3309.60795,1.2441,-77.2302,36.31795,1453.49975,967.75662,485.74313,0.002479,0.02958012,-0.05151514,0.00179117,0.11132948,0.03613808,1.00438726,97.59,309.43,6.31098,13.62843,0.39414639,0.00338667,-33.33324,-11.51064,-0.6558289,0.015209
L17,0,17.00 ,CoH2L17,6.96,22.83,10.49,6.97,11.8125,6.521711336,61,435.47177,-0.210056,608,-0.069495,0.140561,55,6.915,9.582,12.541,12.719,0.365047931,0.91966739,1.414094,7.198466,16.507265,45.538845,507.6119,3656.00681,1.3347,-76.71451,34.83491,1551.67985,1056.35859,495.32126,0.00247469,0.02625183,-0.04823421,0.00174233,0.09960188,0.03244514,0.90529448,123.31,311.2,6.34473,14.58247,0.39671668,0.00360166,-33.6834,-11.06544,-0.6935908,0.024715
L18,0,18.00 ,CoH2L18,6.42,21.9,10.53,6.47,11.33,6.326385224,67,463.52501,-0.207391,652,-0.068152,0.139239,59,7.402,9.838,13.627,13.707,0.368745292,0.925898406,1.616138,7.51561,17.587405,51.143491,650.2364,3975.26965,1.3066,-78.52963,33.31571,1701.44988,1216.28803,485.16185,0.00406092,0.02531041,-0.04921102,0.00188988,0.08315451,0.03059634,0.87418148,133.05,343.41,6.32492,14.27735,0.39650178,0.00336713,-34.62226,-11.0701,-0.6844189,0.02504
L19,0,19.00 ,CoH2L19,5.32,18.42,10.63,7.29,10.415,4.99627111,69,495.52382,-0.20165,688,-0.06359,0.13806,61,7.734,9.635,14.048,14.143,0.373896262,0.914339281,1.711104,7.141401,18.783778,61.288459,853.4141,4114.70358,1.3495,-79.89196,37.01251,1781.28718,1251.11448,530.1727,0.0042087,0.02612935,-0.04752018,0.00200806,0.09902632,0.03101413,0.88426124,163.91,334.9,6.32476,15.16565,0.39921196,0.00391252,-37.68089,-10.97567,-0.7109249,0.037522
L20,1,20.00 ,CoH2L20,4.26,21.6,8.64,3.9,9.6,7.175081881,81,587.66413,-0.206577,832,-0.067197,0.13938,74,8.732,10.396,13.756,15.469,0.39042427,0.885765002,1.881754,7.204921,16.821138,85.328314,1400.4075,4939.88451,1.3331,-77.66953,35.9073,2067.8415,1488.8733,578.9682,0.00527496,0.02321209,-0.04085212,0.00185801,0.08442916,0.02623311,0.76602949,216.75,362.3,6.36097,14.59133,0.39486388,0.00345413,-35.12553,-10.76213,-0.7366435,0.035869
L21,0,21.00 ,CoH2L21,6.51,23.61,9.07,6.05,11.31,7.194011398,67,571.46778,-0.215297,748,-0.074028,0.141269,58,7.342,8.898,13.46,14.044,0.385802978,0.956415146,1.570929,6.903339,10.126106,100.34822,811.5764,4118.10218,1.555,-71.00436,45.67807,1761.3048,1220.84998,540.45482,0.00892792,0.02946909,-0.03747315,0.00176325,0.1505835,0.02932422,0.86872689,167.4,325.81,6.42599,16.33796,0.42177355,0.00616611,-43.18597,-10.94446,-0.8228803,0.093275
L22,0,22.00 ,CoH2L22,5.94,21,10.23,6.28,10.8625,6.090962055,67,463.52501,-0.207856,652,-0.067311,0.140545,49,7.19,9.797,13.464,14.096,0.377332227,0.980250348,1.5295,7.207901,17.158477,53.734153,569.0252,3982.90354,1.3041,-77.76368,36.59225,1702.4448,1213.29354,489.15126,0.00426935,0.02608817,-0.04985018,0.00180029,0.09096407,0.03127292,0.89567734,134.13,342.6,6.35919,13.85154,0.39537336,0.00335411,-35.38659,-11.17433,-0.6864214,0.026544
L23,1,23.00 ,CoH2L23,6.52,22.09,10.35,6.48,11.36,6.391263568,79,519.63148,-0.208599,740,-0.065332,0.143267,70,7.702,10.499,12.351,14.707,0.391591448,0.954752012,1.861617,7.868857,17.190839,68.732906,786.8061,4588.30802,1.2691,-78.13655,37.18145,1833.23291,1359.31347,473.91943,0.00465949,0.02395364,-0.05068072,0.00177946,0.07178879,0.02879107,0.83982511,136.53,376.83,6.35011,14.56846,0.39515897,0.00324603,-36.19083,-11.03567,-0.6858587,0.023257
L25,0,24.00 ,CoH2L24,6.09,22.25,10.48,6.37,11.2975,6.557893621,73,491.57824,-0.206332,696,-0.066965,0.139367,58,8.091,9.974,13.139,16.105,0.410653271,0.995241626,1.566756,7.587617,17.537282,49.31991,642.9771,4287.83407,1.2847,-80.3596,33.63518,1877.13304,1330.24335,546.88968,0.00394744,0.02417268,-0.04524802,0.0019152,0.08161833,0.02883207,0.82485413,176.04,349.61,6.33349,14.45527,0.39556276,0.00327154,-34.57676,-10.73278,-0.6820453,0.024835
