SPS_L,NumRadicalElectrons_L,MaxPartialCharge_L,PEOE_VSA1_L,PEOE_VSA10_L,PEOE_VSA11_L,PEOE_VSA14_L,PEOE_VSA4_L,SlogP_VSA1_L,SlogP_VSA12_L,TPSA_L,EState_VSA9_L,VSA_EState2_L,VSA_EState4_L,NOCount_L,NumAliphaticHeterocycles_L,NumHAcceptors_L,fr_Imine_L,fr_bicyclic_L,ODI_HOMO_1_Free,ODI_HOMO_Free,ODI_Mean_Free,ODI_Std_Free,ALIEmin_Free,ODI_HOMO_Res,ODI_Std_Res,ESPmin_Res,ALIEmin_Res,Co_Mulliken_CoL2,Co_NPA_CoL2,ln(dr)
20.33333333,0.0,0.171781213,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.59767826,5.201466911,4.0,2.0,4.0,2.0,0.0,14.73,12.36,11.645,2.404729715,7.9712,7.79,1.460556401,-80.48987,7.72975,-0.049484,0.52015,1.05
20.52631579,0.0,0.171781214,9.799819462,0.0,11.67123957,0.0,0.0,9.799819462,0.0,31.2,9.984809465,15.66889598,5.333522452,4.0,2.0,4.0,2.0,0.0,7.47,7.62,7.385,1.140361785,8.0437,7.64,1.621286141,-81.63801,7.7274,-0.04327,0.53053,0.8
18.18181818,2.0,2.0,4.736862954,12.50462731,0.0,17.06867815,31.06970357,10.60907979,7.921588092,21.59,9.729267686,4.916972159,1.182881687,2.0,1.0,2.0,1.0,0.0,61.45,45.4,31.21,22.97793833,6.8539,17.54,16.70763673,-63.96895,6.56817,-0.389513,0.32443,-2.03
14.93103448,2.0,2.0,4.899909731,0.0,0.0,17.06867815,36.6428081,10.60907979,7.921588092,3.24,0.0,2.260092593,1.383164105,1.0,0.0,1.0,0.0,0.0,59.34,50.42,32.135,22.98675434,7.01359,13.53,16.70303472,-56.89177,6.50846,-0.268964,0.36382,-1.97
16.25,0.0,0.216766853,4.736862954,6.606881965,0.0,0.0,0.0,15.91361969,7.921588092,21.59,9.729267686,5.071561634,1.191474138,2.0,1.0,2.0,1.0,1.0,7.22,14.72,9.0625,3.33553875,6.85093,18.88,4.981653215,-63.30832,6.62693,-0.303174,0.3333,-1.41
23.48148148,0.0,0.201446582,4.736862954,6.606881965,0.0,0.0,0.0,10.60907979,8.072314197,24.83,9.729267686,4.99433327,0.0,3.0,2.0,3.0,1.0,0.0,6.29,19.88,10.5725,5.474588455,6.72665,18.59,4.003251023,-63.794,6.45028,-0.274168,0.33384,-2.15
29.85185185,0.0,0.199222149,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,9.95896416,4.863538043,4.0,2.0,4.0,2.0,6.0,10.5,7.69,10.2625,1.706419863,8.3078,8.89,0.421744887,-78.30497,8.12369,-0.012469,0.5045,1.74
16.83870968,0.0,0.193623594,4.736862954,6.606881965,5.897745344,0.0,0.0,15.91361969,7.921588092,21.59,9.729267686,5.054932813,1.08409302,2.0,1.0,2.0,1.0,0.0,12.06,17.04,10.8125,4.132259521,6.97139,19.93,5.474321876,-61.57889,6.67624,-0.269089,0.3665,-1.1
16.55172414,0.0,0.187737327,4.736862954,6.606881965,5.897745344,0.0,0.0,15.91361969,7.921588092,21.59,9.729267686,4.902155035,1.432157788,2.0,1.0,2.0,1.0,0.0,16.61,16.88,11.7,5.06521964,6.92273,20.89,5.941735857,-60.75598,6.5315,-0.265919,0.36618,-2.83
19.90909091,2.0,2.0,4.736862954,18.54646814,0.0,17.06867815,36.80092216,0.0,0.0,21.59,4.736862954,4.563935185,2.141191893,2.0,1.0,2.0,1.0,0.0,62.42,58.34,35.525,25.28726211,8.31277,55.68,24.77270915,-49.79051,7.9902,0.162189,0.76316,-1.41
18.62222222,0.0,0.218230684,14.45770443,13.21376393,0.0,0.0,0.0,0.0,0.0,58.97,19.45853537,14.09284091,9.0778033,5.0,2.0,4.0,2.0,3.0,8.59,9.23,7.0025,2.029179329,6.60992,6.7,1.131820988,-55.54481,8.43231,-0.10922,0.40127,-1.39
12.23333333,0.0,0.309666093,8.393465409,11.16604028,0.0,8.164063761,4.67041619,4.67041619,8.164063761,29.52,8.393465409,0.0,1.780026245,3.0,0.0,3.0,0.0,7.0,4.91,5.15,5.07,0.121860576,7.71546,8.22,11.13894519,-41.58838,7.26523,-0.320455,0.41023,-1.39
16.71875,0.0,0.41593498,4.736862954,6.606881965,0.0,6.176298517,13.17124514,15.91361969,7.921588092,21.59,9.729267686,4.720571932,-0.420481159,2.0,1.0,2.0,1.0,0.0,11.72,18.64,12.8075,3.499624087,6.91786,22.36,5.144644667,-55.56458,6.57819,-0.255283,0.36034,-2.48
19.25925926,0.0,0.217704897,9.473725908,12.08368166,12.20793278,0.0,0.0,0.0,0.0,43.18,19.45853537,10.84593225,8.363793289,4.0,2.0,4.0,2.0,2.0,5.1,5.05,4.6075,0.49302003,6.98741,12.92,3.659674678,-49.57997,6.62149,-0.511398,0.15803,-1.1
16.06666667,0.0,0.432861442,4.736862954,17.99473795,0.0,6.176298517,13.17124514,0.0,0.0,34.48,4.736862954,7.338923847,-0.805069444,3.0,1.0,3.0,1.0,0.0,5.1,5.05,4.6075,0.49302003,6.98741,12.92,3.659674678,-49.57997,6.62149,-0.511398,0.15803,-0.85
10.14285714,0.0,0.088893751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78,0.0,8.844074074,3.915752079,2.0,0.0,2.0,0.0,0.0,5.1,5.05,4.6075,0.49302003,6.98741,12.92,3.659674678,-49.57997,6.62149,-0.511398,0.15803,-0.16
22.85106383,0.0,0.200504992,9.473725908,29.7066049,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,10.97253811,9.833561686,4.0,2.0,4.0,2.0,6.0,5.71,6.42,8.61,2.634492361,8.48307,6.16,0.842537091,-80.90189,8.1207,-0.031668,0.5305,1.05
18.62222222,0.0,0.200201856,9.473725908,30.71243606,0.0,0.0,0.0,0.0,0.0,43.18,19.45853537,10.62543399,6.791250928,4.0,2.0,4.0,2.0,0.0,6.54,6.0,6.0825,0.348164832,8.3309,6.53,1.432137825,-86.75637,8.16679,-0.014122,0.53787,0.66
26.4,0.0,0.199502676,9.473725908,30.71243606,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,9.73686004,2.182451285,4.0,2.0,4.0,2.0,0.0,5.99,5.67,6.4525,0.910010302,8.25312,7.3,2.647078578,-84.95702,8.13361,-0.000415,0.51088,1.66
22.0,0.0,0.199222152,9.473725908,29.7066049,11.79549069,0.0,0.0,0.0,0.0,43.18,19.45853537,10.67525293,15.38849033,4.0,2.0,4.0,2.0,6.0,4.07,4.07,3.92,0.15,8.45619,3.95,0.100249688,-79.85541,8.18314,-0.046831,0.49755,2.08
19.30612245,0.0,0.200372172,9.473725908,17.49867213,11.20210162,0.0,0.0,0.0,0.0,43.18,19.45853537,11.01110166,3.604164756,4.0,2.0,4.0,2.0,0.0,7.08,5.91,6.055,0.636651396,8.47902,6.5,1.346836571,-78.70485,8.27431,0.004424,0.52405,0.85
18.41818182,0.0,0.201003892,9.473725908,17.49867213,11.20210162,0.0,0.0,0.0,0.0,43.18,19.45853537,11.40426209,4.478642426,4.0,2.0,4.0,2.0,0.0,6.06,6.54,5.445,1.083455121,8.61446,3.75,1.297410883,-84.38706,8.26578,-0.001123,0.5362,1.1
